month,entity,account_c,amount,currency
2023-01,ParentCo,Revenue,400000,USD
2023-01,ParentCo,COGS,56000,USD
2023-01,ParentCo,Opex:Mar,72000,USD
2023-01,ParentCo,Opex:Sale,44000,USD
2023-01,ParentCo,Opex:R&D,32000,USD
2023-01,ParentCo,Opex:Admin,24000,USD
2023-01,EMEA,Revenue,103000,EUR
2023-01,EMEA,COGS,15450,EUR
2023-01,EMEA,Opex:Mar,14420,EUR
2023-01,EMEA,Opex:Sale,9270,EUR
2023-01,EMEA,Opex:Admin,5150,EUR
2023-02,ParentCo,Revenue,441000,USD
2023-02,ParentCo,COGS,61740,USD
2023-02,ParentCo,Opex:Mar,79380,USD
2023-02,ParentCo,Opex:Sale,48510,USD
2023-02,ParentCo,Opex:R&D,35280,USD
2023-02,ParentCo,Opex:Admin,26460,USD
2023-02,EMEA,Revenue,113400,EUR
2023-02,EMEA,COGS,17010,EUR
2023-02,EMEA,Opex:Mar,15876,EUR
2023-02,EMEA,Opex:Sale,10206,EUR
2023-02,EMEA,Opex:Admin,5670,EUR
2023-03,ParentCo,Revenue,467250,USD
2023-03,ParentCo,COGS,65415,USD
2023-03,ParentCo,Opex:Mar,84105,USD
2023-03,ParentCo,Opex:Sale,51399,USD
2023-03,ParentCo,Opex:R&D,37380,USD
2023-03,ParentCo,Opex:Admin,28035,USD
2023-03,EMEA,Revenue,116640,EUR
2023-03,EMEA,COGS,17496,EUR
2023-03,EMEA,Opex:Mar,16330,EUR
2023-03,EMEA,Opex:Sale,10498,EUR
2023-03,EMEA,Opex:Admin,5832,EUR
2023-04,ParentCo,Revenue,480000,USD
2023-04,ParentCo,COGS,67200,USD
2023-04,ParentCo,Opex:Mar,86400,USD
2023-04,ParentCo,Opex:Sale,52800,USD
2023-04,ParentCo,Opex:R&D,38400,USD
2023-04,ParentCo,Opex:Admin,28800,USD
2023-05,ParentCo,Revenue,490000,USD
2023-05,ParentCo,COGS,68600,USD
2023-05,ParentCo,Opex:Mar,88200,USD
2023-05,ParentCo,Opex:Sale,53900,USD
2023-05,ParentCo,Opex:R&D,39200,USD
2023-05,ParentCo,Opex:Admin,29400,USD
2023-06,ParentCo,Revenue,500000,USD
2023-06,ParentCo,COGS,70000,USD
2023-06,ParentCo,Opex:Mar,90000,USD
2023-06,ParentCo,Opex:Sale,55000,USD
2023-06,ParentCo,Opex:R&D,40000,USD
2023-06,ParentCo,Opex:Admin,30000,USD
2024-01,ParentCo,Revenue,550000,USD
2024-01,ParentCo,COGS,77000,USD
2024-01,ParentCo,Opex:Mar,99000,USD
2024-01,ParentCo,Opex:Sale,60500,USD
2024-01,ParentCo,Opex:R&D,44000,USD
2024-01,ParentCo,Opex:Admin,33000,USD
2025-01,ParentCo,Revenue,600000,USD
2025-01,ParentCo,COGS,84000,USD
2025-01,ParentCo,Opex:Mar,108000,USD
2025-01,ParentCo,Opex:Sale,66000,USD
2025-01,ParentCo,Opex:R&D,48000,USD
2025-01,ParentCo,Opex:Admin,36000,USD
2025-06,ParentCo,Revenue,650000,USD
2025-06,ParentCo,COGS,91000,USD
2025-06,ParentCo,Opex:Mar,117000,USD
2025-06,ParentCo,Opex:Sale,71500,USD
2025-06,ParentCo,Opex:R&D,52000,USD
2025-06,ParentCo,Opex:Admin,39000,USD
