month,entity,account_c,amount,currency
2023-01,ParentCo,Revenue,380000,USD
2023-01,ParentCo,COGS,57000,USD
2023-01,ParentCo,Opex:Mar,76000,USD
2023-01,ParentCo,Opex:Sale,45600,USD
2023-01,ParentCo,Opex:R&D,30400,USD
2023-01,ParentCo,Opex:Admin,22800,USD
2023-01,EMEA,Revenue,95000,EUR
2023-01,EMEA,COGS,15200,EUR
2023-01,EMEA,Opex:Mar,14250,EUR
2023-01,EMEA,Opex:Sale,9500,EUR
2023-01,EMEA,Opex:Admin,4750,EUR
2023-02,ParentCo,Revenue,420000,USD
2023-02,ParentCo,COGS,63000,USD
2023-02,ParentCo,Opex:Mar,84000,USD
2023-02,ParentCo,Opex:Sale,50400,USD
2023-02,ParentCo,Opex:R&D,33600,USD
2023-02,ParentCo,Opex:Admin,25200,USD
2023-02,EMEA,Revenue,105000,EUR
2023-02,EMEA,COGS,16800,EUR
2023-02,EMEA,Opex:Mar,15750,EUR
2023-02,EMEA,Opex:Sale,10500,EUR
2023-02,EMEA,Opex:Admin,5250,EUR
2023-03,ParentCo,Revenue,445000,USD
2023-03,ParentCo,COGS,66750,USD
2023-03,ParentCo,Opex:Mar,89000,USD
2023-03,ParentCo,Opex:Sale,53400,USD
2023-03,ParentCo,Opex:R&D,35600,USD
2023-03,ParentCo,Opex:Admin,26700,USD
2023-03,EMEA,Revenue,108000,EUR
2023-03,EMEA,COGS,17280,EUR
2023-03,EMEA,Opex:Mar,16200,EUR
2023-03,EMEA,Opex:Sale,10800,EUR
2023-03,EMEA,Opex:Admin,5400,EUR
2025-06,ParentCo,Revenue,620000,USD
2025-06,ParentCo,COGS,93000,USD
2025-06,ParentCo,Opex:Mar,124000,USD
2025-06,ParentCo,Opex:Sale,74400,USD
2025-06,ParentCo,Opex:R&D,49600,USD
2025-06,ParentCo,Opex:Admin,3
